tconst,primaryTitle,numVotes,averageRating,startYear
tt0111161,The Shawshank Redemption,2356275,9.3,1994
tt0068646,The Godfather,1630607,9.2,1972
tt0071562,The Godfather: Part II,1136475,9.0,1974
tt0468569,The Dark Knight,2315682,9.0,2008
tt0050083,12 Angry Men,694545,9.0,1957
tt0108052,Schindler's List,1219581,8.9,1993
tt0167260,The Lord of the Rings: The Return of the King,1650871,8.9,2003
tt0110912,Pulp Fiction,1836473,8.9,1994
tt0060196,"The Good, the Bad and the Ugly",691812,8.8,1966
tt1375666,Inception,2079706,8.8,2010
tt0137523,Fight Club,1865119,8.8,1999
tt0120737,The Lord of the Rings: The Fellowship of the Ring,1670192,8.8,2001
tt5813916,The Mountain II,105338,8.8,2016
tt0109830,Forrest Gump,1820817,8.8,1994
tt0099685,Goodfellas,1027253,8.7,1990
tt0073486,One Flew Over the Cuckoo's Nest,922470,8.7,1975
tt0080684,Star Wars: Episode V - The Empire Strikes Back,1164843,8.7,1980
tt0167261,The Lord of the Rings: The Two Towers,1492927,8.7,2002
tt0133093,The Matrix,1685797,8.7,1999
tt0120815,Saving Private Ryan,1242566,8.6,1998
tt0816692,Interstellar,1524445,8.6,2014
tt0047478,Seven Samurai,317353,8.6,1954
tt0317248,City of God,702151,8.6,2002
tt6751668,Parasite,568695,8.6,2019
tt0120689,The Green Mile,1155177,8.6,1999
tt0114369,Se7en,1454343,8.6,1995
tt0076759,Star Wars: Episode IV - A New Hope,1236994,8.6,1977
tt0245429,Spirited Away,656701,8.6,2001
tt0118799,Life Is Beautiful,627430,8.6,1997
tt0038650,It's a Wonderful Life,407861,8.6,1946
tt0102926,The Silence of the Lambs,1279064,8.6,1991
tt0027977,Modern Times,219266,8.5,1936
tt0110357,The Lion King,947544,8.5,1994
tt0034583,Casablanca,524661,8.5,1942
tt0095327,Grave of the Fireflies,237312,8.5,1988
tt0172495,Gladiator,1348270,8.5,2000
tt0088763,Back to the Future,1064251,8.5,1985
tt1675434,The Intouchables,765826,8.5,2011
tt2582802,Whiplash,723288,8.5,2014
tt0253474,The Pianist,734708,8.5,2002
tt0482571,The Prestige,1197233,8.5,2006
tt0064116,Once Upon a Time in the West,304251,8.5,1968
tt0110413,L̩on: The Professional,1041316,8.5,1994
tt0120586,American History X,1038969,8.5,1998
tt0054215,Psycho,607489,8.5,1960
tt0114814,The Usual Suspects,995952,8.5,1995
tt0103064,Terminator 2: Judgment Day,999629,8.5,1991
tt0021749,City Lights,168829,8.5,1931
tt0095765,Cinema Paradiso,232326,8.5,1988
tt0407887,The Departed,1196522,8.5,2006
tt4154756,Avengers: Infinity War,844115,8.4,2018
tt5074352,Dangal,158059,8.4,2016
tt1345836,The Dark Knight Rises,1523432,8.4,2012
tt4633694,Spider-Man: Into the Spider-Verse,381270,8.4,2018
tt1187043,3 Idiots,346675,8.4,2009
tt0364569,Oldboy,518543,8.4,2003
tt0119698,Princess Mononoke,345844,8.4,1997
tt5311514,Your Name.,198640,8.4,2016
tt0082971,Indiana Jones and the Raiders of the Lost Ark,887673,8.4,1981
tt0986264,Like Stars on Earth,170334,8.4,2007
tt0051201,Witness for the Prosecution,109730,8.4,1957
tt0209144,Memento,1131011,8.4,2000
tt2380307,Coco,390167,8.4,2017
tt0087843,Once Upon a Time in America,313368,8.4,1984
tt0050825,Paths of Glory,179322,8.4,1957
tt0032553,The Great Dictator,204230,8.4,1940
tt0047396,Rear Window,446271,8.4,1954
tt0081505,The Shining,903691,8.4,1980
tt4154796,Avengers: Endgame,824450,8.4,2019
tt0910970,WALL-E,1005050,8.4,2008
tt0078748,Alien,791824,8.4,1979
tt0057012,Dr. Strangelove Or: How I Learned To Stop Worrying And Love The Bomb,452600,8.4,1964
tt0405094,The Lives of Others,360655,8.4,2006
tt1853728,Django Unchained,1366477,8.4,2012
tt0043014,Sunset Boulevard,202707,8.4,1950
tt0078788,Apocalypse Now,609513,8.4,1979
tt7286456,Joker,954779,8.4,2019
tt0086250,Scarface,745587,8.3,1983
tt0119217,Good Will Hunting,866609,8.3,1997
tt1255953,Incendies,151560,8.3,2010
tt0086190,Star Wars: Episode VI - Return of the Jedi,954850,8.3,1983
tt1832382,A Separation,221324,8.3,2011
tt0040522,Bicycle Thieves,147476,8.3,1948
tt0169547,American Beauty,1074139,8.3,1999
tt0208092,Snatch,785392,8.3,2000
tt0022100,M,144276,8.3,1931
tt0062622,2001: A Space Odyssey,606594,8.3,1968
tt0082096,Das Boot,232984,8.3,1981
tt0070735,The Sting,242603,8.3,1973
tt0338013,Eternal Sunshine of the Spotless Mind,916049,8.3,2004
tt0105236,Reservoir Dogs,923346,8.3,1992
tt0017136,Metropolis,160848,8.3,1927
tt0012349,The Kid,114245,8.3,1921
tt0086879,Amadeus,370696,8.3,1984
tt0045152,Singin' in the Rain,220217,8.3,1952
tt0033467,Citizen Kane,405804,8.3,1941
tt8579674,1917,437055,8.3,2019
tt0112573,Braveheart,963117,8.3,1995
tt0114709,Toy Story,892197,8.3,1995
tt0361748,Inglourious Basterds,1276172,8.3,2009
